,title,hq,link
1726,Crawford & Company,Atlanta  Georgia United States,//en.m.wikipedia.org/wiki/Crawford_%26_Company
1727,Cox Media Group,Soft adult contemporary Atlanta  GA Oakland San Francisco San Jose  CA Fox O&O,//en.m.wikipedia.org/wiki/Cox_Media_Group
1728,Delta Air Lines,Soft adult contemporary Atlanta  GA Oakland San Francisco San Jose  CA Fox O&O,//en.m.wikipedia.org/wiki/Delta_Air_Lines
1729,Exide,Milton Georgia,//en.m.wikipedia.org/wiki/Exide
1730,EarthLink,Atlanta Georgia,//en.m.wikipedia.org/wiki/EarthLink
1731,Equifax,Atlanta Georgia,//en.m.wikipedia.org/wiki/Equifax
1732,Flowers Foods,Thomasville  Georgia,//en.m.wikipedia.org/wiki/Flowers_Foods
1733,EyeMail Inc.,Atlanta Georgia,//en.m.wikipedia.org/wiki/EyeMail_Inc.
1734,Floor & Decor,Smyrna  Georgia,//en.m.wikipedia.org/wiki/Floor_%26_Decor
1735,Georgia-Pacific,Atlanta Georgia,//en.m.wikipedia.org/wiki/Georgia-Pacific
1736,Global Franchise Group,Atlanta Georgia,//en.m.wikipedia.org/wiki/Global_Franchise_Group
1737,Genuine Parts Company,Atlanta  Georgia  U.S.,//en.m.wikipedia.org/wiki/Genuine_Parts_Company
1738,Great American Cookies,Atlanta Georgia,//en.m.wikipedia.org/wiki/Great_American_Cookies
1739,Greenwood (bank),Atlanta  Georgia,//en.m.wikipedia.org/wiki/Greenwood_(bank)
1740,The Home Depot,Atlanta  Georgia,//en.m.wikipedia.org/wiki/The_Home_Depot
1741,LexisNexis Risk Solutions,Alpharetta Georgia U.S.,//en.m.wikipedia.org/wiki/LexisNexis_Risk_Solutions
1742,Huddle House,Atlanta  Georgia,//en.m.wikipedia.org/wiki/Huddle_House
1743,Havertys,Atlanta  Georgia U.S.,//en.m.wikipedia.org/wiki/Havertys
1744,LendingPoint,United States,//en.m.wikipedia.org/wiki/LendingPoint
1745,Marble Slab Creamery,Atlanta Georgia,//en.m.wikipedia.org/wiki/Marble_Slab_Creamery
1746,Manheim Auctions,Atlanta  Georgia,//en.m.wikipedia.org/wiki/Manheim_Auctions
1747,The National Bank of Georgia (U.S.),Atlanta  Georgia,//en.m.wikipedia.org/wiki/The_National_Bank_of_Georgia_(U.S.)
1748,NanoLumens,Norcross  Georgia,//en.m.wikipedia.org/wiki/NanoLumens
1749,Moe's Southwest Grill,Atlanta  Georgia,//en.m.wikipedia.org/wiki/Moe%27s_Southwest_Grill
1750,Pretzelmaker,Atlanta  Georgia,//en.m.wikipedia.org/wiki/Pretzelmaker
1751,Newell Brands,Atlanta Georgia,//en.m.wikipedia.org/wiki/Newell_Brands
